config,lr,loss,arch,val_loss,dice
lr=0.01_loss=BCE_arch=basic,0.01,BCE,basic,0.05560570478439331,0.6999588757753372
lr=0.01_loss=BCE_arch=shallow,0.01,BCE,shallow,0.053820850253105165,0.7200498878955841
lr=0.01_loss=BCE_arch=deep,0.01,BCE,deep,0.0537059035897255,0.7118643820285797
lr=0.01_loss=Dice_arch=basic,0.01,Dice,basic,0.3078399157524109,0.7039333134889603
lr=0.01_loss=Dice_arch=shallow,0.01,Dice,shallow,0.29619479656219483,0.7142419517040253
lr=0.01_loss=Dice_arch=deep,0.01,Dice,deep,0.2958366441726685,0.7153013497591019
lr=0.001_loss=BCE_arch=basic,0.001,BCE,basic,0.0531068217754364,0.7207516431808472
lr=0.001_loss=BCE_arch=shallow,0.001,BCE,shallow,0.05243008822202683,0.7287580519914627
lr=0.001_loss=BCE_arch=deep,0.001,BCE,deep,0.054508669078350065,0.7044249176979065
lr=0.001_loss=Dice_arch=basic,0.001,Dice,basic,0.29045365333557127,0.7209428548812866
lr=0.001_loss=Dice_arch=shallow,0.001,Dice,shallow,0.29381772994995115,0.7174345105886459
lr=0.001_loss=Dice_arch=deep,0.001,Dice,deep,0.2907359910011291,0.7210130840539932
lr=0.0001_loss=BCE_arch=basic,0.0001,BCE,basic,0.05956023097038269,0.7252457439899445
lr=0.0001_loss=BCE_arch=shallow,0.0001,BCE,shallow,0.0953552222251892,0.7006834298372269
lr=0.0001_loss=BCE_arch=deep,0.0001,BCE,deep,0.0793895047903061,0.7053568214178085
lr=0.0001_loss=Dice_arch=basic,0.0001,Dice,basic,0.35813950538635253,0.7089648842811584
lr=0.0001_loss=Dice_arch=shallow,0.0001,Dice,shallow,0.5007660365104676,0.6508189141750336
lr=0.0001_loss=Dice_arch=deep,0.0001,Dice,deep,0.3076249313354492,0.7226685881614685
